順位,駅名,線名,乗車人員
1,博多,鹿児島本線,"119,562"
2,小倉,鹿児島本線,"32,073"
3,鹿児島中央,鹿児島本線,"19,437"
4,大分,日豊本線,"16,949"
5,熊本,鹿児島本線,"16,292"
6,吉塚,鹿児島本線,"14,867"
7,折尾,鹿児島本線,"13,983"
8,千早,鹿児島本線,"13,559"
9,香椎,鹿児島本線,"13,470"
10,黒崎,鹿児島本線,"13,247"
11,佐賀,長崎本線,"11,722"
12,福工大前,鹿児島本線,"10,922"
13,南福岡,鹿児島本線,"9,711"
14,竹下,鹿児島本線,"9,470"
15,九大学研都市,筑肥線,"8,985"
16,長崎,長崎本線,"8,863"
17,福間,鹿児島本線,"8,549"
18,戸畑,鹿児島本線,"8,372"
19,大野城,鹿児島本線,"7,823"
20,赤間,鹿児島本線,"7,511"
21,九産大前,鹿児島本線,"7,442"
22,久留米,鹿児島本線,"7,294"
23,二日市,鹿児島本線,"6,971"
24,鳥栖,鹿児島本線,"6,475"
25,箱崎,鹿児島本線,"6,317"
26,筑前前原,筑肥線,"6,267"
27,下曽根,日豊本線,"6,158"
28,古賀,鹿児島本線,"6,157"
29,八幡,鹿児島本線,"5,712"
30,姪浜,筑肥線,"5,636"
31,別府,日豊本線,"5,621"
32,門司,鹿児島本線,"5,618"
33,宮崎,日豊本線,"5,438"
34,行橋,日豊本線,"5,426"
35,笹原,鹿児島本線,"5,310"
36,今宿,筑肥線,"5,277"
37,新宮中央,鹿児島本線,"5,177"
38,新水前寺,豊肥本線,"5,100"
39,東郷,鹿児島本線,"4,912"
40,篠栗,篠栗線,"4,892"
41,諫早,長崎本線,"4,845"
42,西小倉,鹿児島本線,"4,812"
43,周船寺,筑肥線,"4,793"
44,門司港,鹿児島本線,"4,776"
45,南小倉,日豊本線,"4,767"
46,春日,鹿児島本線,"4,441"
47,城野,日豊本線,"4,306"
48,新飯塚,筑豊本線,"4,230"
49,柚須,篠栗線,"4,223"
50,九州工大前,鹿児島本線,"4,065"
51,長者原,篠栗線,"3,845"
52,原田,鹿児島本線,"3,508"
53,基山,鹿児島本線,"3,467"
54,水前寺,豊肥本線,"3,426"
55,佐世保,佐世保線,"3,399"
56,千鳥,鹿児島本線,"3,302"
57,谷山,指宿枕崎線,"3,241"
58,海老津,鹿児島本線,"3,207"
59,スペースワールド,鹿児島本線,"3,048"
60,直方,筑豊本線,"3,029"
61,肥後大津,豊肥本線,"2,978"
62,下山門,筑肥線,"2,798"
63,枝光,鹿児島本線,"2,751"
64,上熊本,鹿児島本線,"2,717"
65,羽犬塚,鹿児島本線,"2,688"
66,川内,鹿児島本線,"2,676"
67,国分,日豊本線,"2,629"
68,中津,日豊本線,"2,556"
69,光の森,豊肥本線,"2,499"
70,天拝山,鹿児島本線,"2,422"
71,糸島高校前,筑肥線,"2,377"
72,東福間,鹿児島本線,"2,376"
73,波多江,筑肥線,"2,323"
74,浦上,長崎本線,"2,313"
75,苅田,日豊本線,"2,308"
76,安部山公園,日豊本線,"2,276"
77,遠賀川,鹿児島本線,"2,214"
78,坂之上,指宿枕崎線,"2,213"
79,武蔵塚,豊肥本線,"2,166"
80,玉名,鹿児島本線,"2,164"
81,伊集院,鹿児島本線,"2,161"
82,教育大前,鹿児島本線,"2,149"
83,大牟田,鹿児島本線,"2,143"
84,大在,日豊本線,"2,118"
85,水城,鹿児島本線,"2,057"
86,新八代,鹿児島本線,"2,049"
87,唐津,唐津線,"1,958"
88,武雄温泉,佐世保線,"1,953"
89,新鳥栖,長崎本線,"1,936"
90,陣原,鹿児島本線,"1,922"
91,朽網,日豊本線,"1,913"
92,水巻,鹿児島本線,"1,911"
93,大村,大村線,"1,908"
94,鶴崎,日豊本線,"1,850"
95,宇美,香椎線,"1,838"
96,宇土,鹿児島本線,"1,819"
97,東海学園前,豊肥本線,"1,755"
98,別府大学,日豊本線,"1,715"
99,上伊集院,鹿児島本線,"1,703"
100,長与,長崎本線,"1,697"
101,八代,鹿児島本線,"1,691"
102,南宮崎,日豊本線,"1,691"
103,鹿児島,鹿児島本線,"1,679"
104,加治木,日豊本線,"1,670"
105,松橋,鹿児島本線,"1,633"
106,小波瀬西工大前,日豊本線,"1,627"
107,喜々津,長崎本線,"1,622"
108,和白,香椎線,"1,619"
109,原町,篠栗線,"1,617"
110,隼人,日豊本線,"1,614"
111,桂川,筑豊本線,"1,614"
112,土井,香椎線,"1,600"
113,高城,日豊本線,"1,583"
114,早岐,佐世保線,"1,568"
115,須恵中央,香椎線,"1,556"
116,崇城大学前,鹿児島本線,"1,549"
117,ししぶ,鹿児島本線,"1,518"
118,帖佐,日豊本線,"1,507"
119,原水,豊肥本線,"1,445"
120,神埼,長崎本線,"1,440"
121,宇島,日豊本線,"1,437"
122,門松,篠栗線,"1,416"
123,西熊本,鹿児島本線,"1,412"
124,慈眼寺,指宿枕崎線,"1,387"
125,大分大学前,豊肥本線,"1,378"
126,中間,筑豊本線,"1,377"
127,弥生が丘,鹿児島本線,"1,367"
128,ハウステンボス,大村線,"1,344"
129,由布院,久大本線,"1,341"
130,南鹿児島,指宿枕崎線,"1,298"
131,二島,筑豊本線,"1,287"
132,亀川,日豊本線,"1,281"
133,宇宿,指宿枕崎線,"1,253"
134,吉野ヶ里公園,長崎本線,"1,249"
135,平成,豊肥本線,"1,226"
136,小森江,鹿児島本線,"1,224"
137,南行橋,日豊本線,"1,221"
138,日向市,日豊本線,"1,215"
139,坂ノ市,日豊本線,"1,194"
140,久留米大学前,久大本線,"1,192"
141,筑後船小屋,鹿児島本線,"1,177"
142,荒木,鹿児島本線,"1,164"
143,広木,鹿児島本線,"1,156"
144,都府楼南,鹿児島本線,"1,154"
145,南熊本,豊肥本線,"1,152"
146,佐土原,日豊本線,"1,136"
147,道ノ尾,長崎本線,"1,127"
148,奈多,香椎線,"1,122"
149,出水,九州新幹線,"1,122"
150,江北,長崎本線,"1,088"
151,小川,鹿児島本線,"1,083"
152,延岡,日豊本線,"1,067"
153,姶良,日豊本線,"1,066"
154,若松,筑豊本線,"1,040"
155,飯塚,筑豊本線,"1,040"
156,日向住吉,日豊本線,"1,035"
157,西諫早,長崎本線,"1,029"
158,けやき台,鹿児島本線,"1,020"
159,中原,長崎本線,"1,016"
160,小城,唐津線,"1,007"
161,郡元,指宿枕崎線,977
162,神村学園前,鹿児島本線,975
163,敷戸,豊肥本線,974
164,本城,筑豊本線,972
165,都城,日豊本線,964
166,香椎神宮,香椎線,956
167,海ノ中道,香椎線,955
168,荒尾,鹿児島本線,920
169,有佐,鹿児島本線,916
170,伊賀,香椎線,914
171,川尻,鹿児島本線,910
172,舞松原,香椎線,908
173,酒殿,香椎線,907
174,宮崎空港,宮崎空港線,887
175,西里,鹿児島本線,878
176,暘谷,日豊本線,874
177,筑前深江,筑肥線,863
178,西戸崎,香椎線,856
179,西浦上,長崎本線,846
180,肥前鹿島,長崎本線,845
181,竹松,大村線,843
182,美咲が丘,筑肥線,825
183,瀬高,鹿児島本線,824
184,南延岡,日豊本線,811
185,杵築,日豊本線,798
186,須恵,香椎線,785
187,高鍋,日豊本線,774
188,志井公園,日田彦山線,772
189,田川後藤寺,日田彦山線,763
190,肥前旭,鹿児島本線,760
191,平川,指宿枕崎線,754
192,竜田口,豊肥本線,745
193,富合,鹿児島本線,742
194,東唐津,筑肥線,739
195,植木,鹿児島本線,735
196,中判田,豊肥本線,731
197,川棚,大村線,726
198,新大村,大村線,725
199,佐伯,日豊本線,710
200,有田,佐世保線,701
201,串木野,鹿児島本線,700
202,三里木,豊肥本線,694
203,新田原,日豊本線,687
204,現川,長崎本線,684
205,椎田,日豊本線,682
206,牧,日豊本線,677
207,三重町,豊肥本線,672
208,津久見,日豊本線,657
209,牛津,長崎本線,631
210,久留米高校前,久大本線,624
211,肥前白石,長崎本線,623
212,加布里,筑肥線,623
213,小竹,筑豊本線,623
214,銀水,鹿児島本線,620
215,日田,久大本線,620
216,向之原,久大本線,617
217,南大分,久大本線,611
218,長洲,鹿児島本線,611
219,築城,日豊本線,608
220,清武,日豊本線,602
221,久保田,長崎本線,599
222,指宿,指宿枕崎線,595
223,鞍手,筑豊本線,595
224,臼杵,日豊本線,592
225,筑前大分,篠栗線,590
226,天道,筑豊本線,582
227,浜崎,筑肥線,573
228,高田,長崎本線,573
229,薩摩松元,鹿児島本線,570
230,柳ケ浦,日豊本線,555
231,鍋島,長崎本線,554
232,田川伊田,日田彦山線,553
233,新大牟田,九州新幹線,552
234,肥前麓,長崎本線,542
235,新玉名,九州新幹線,531
236,宮崎神宮,日豊本線,530
237,日出,日豊本線,519
238,古国府,久大本線,515
239,田野,日豊本線,510
240,田代,鹿児島本線,507
241,新水俣,九州新幹線,506
242,大塔,佐世保線,504
243,賀来,久大本線,497
244,喜入,指宿枕崎線,493
245,重富,日豊本線,489
246,田主丸,久大本線,488
247,西大分,日豊本線,486
248,錦江,日豊本線,467
249,西都城,日豊本線,466
250,筑前植木,筑豊本線,461
251,日宇,佐世保線,445
252,五位野,指宿枕崎線,439
253,石田,日田彦山線,431
254,門川,日豊本線,429
255,福吉,筑肥線,418
256,西牟田,鹿児島本線,414
257,西唐津,唐津線,411
258,筑後吉井,久大本線,408
259,一貴山,筑肥線,408
260,鯰田,筑豊本線,403
261,薩摩今和泉,指宿枕崎線,396
262,宇佐,日豊本線,394
263,城戸南蔵院前,篠栗線,394
264,隈之城,鹿児島本線,392
265,滝尾,豊肥本線,388
266,大神,日豊本線,386
267,吉野,鹿児島本線,384
268,雁ノ巣,香椎線,383
269,南久留米,久大本線,376
270,飫肥,日南線,375
271,小林,吉都線,373
272,木葉,鹿児島本線,368
273,豊後豊岡,日豊本線,367
274,木花,日南線,352
275,東水巻,筑豊本線,351
276,筑前垣生,筑豊本線,348
277,和多田,筑肥線,343
278,熊崎,日豊本線,342
279,新入,筑豊本線,342
280,大野下,鹿児島本線,335
281,二月田,指宿枕崎線,332
282,豊後竹田,豊肥本線,327
283,肥前古賀,長崎本線,320
284,三間坂,佐世保線,319
285,奥洞海,筑豊本線,317
286,市来,鹿児島本線,316
287,三角,三角線,314
288,中多久,唐津線,314
289,南荒尾,鹿児島本線,313
290,上臼杵,日豊本線,309
291,豊後国分,久大本線,308
292,東市来,鹿児島本線,305
293,川南,日豊本線,300
294,新原,香椎線,295
295,都農,日豊本線,294
296,吉富,日豊本線,292
297,東中津,日豊本線,288
298,湯之元,鹿児島本線,285
299,多久,唐津線,282
300,山本,唐津線,282
